"id","year","title","venue","doi_or_url","method","evidence_level","relevance","key_gap_or_transfer"
"P01","2026","Nonparametric efficiency and artificial intelligence techniques in higher education: a systematic literature review and bibliometric analysis","International Transactions in Operational Research","https://doi.org/10.1111/itor.70070","systematic review; nonparametric efficiency; AI","peer-reviewed systematic review","high","AI and efficiency integration is growing but underexplored; do not claim AI+DEA alone as novelty"
"P02","2026","Integrating artificial intelligence and data envelopment analysis for sustainable efficiency assessment in higher education","Computers and Education: Artificial Intelligence","https://doi.org/10.1016/j.caeai.2026.100557","BCC-DEA; random forest; gradient boosting; learning analytics","peer-reviewed research article","high","AI prediction of DEA scores already exists; student-process diagnosis and uncertainty remain open"
"P03","2025","Efficiency analysis of 67 Chinese research universities considering inter-university heterogeneity: Evidence from a meta-frontier network SBM DEA model","PLOS ONE","https://doi.org/10.1371/journal.pone.0331923","two-stage network SBM; meta-frontier; technology gap","open-access peer-reviewed research article","high","Transfer network and heterogeneous-frontier ideas from universities to student learning process"
"P04","2025","Input-output efficiency, productivity dynamics, and determinants in western China’s higher education: A three-stage DEA, global Malmquist index, and Tobit model approach","PLOS ONE","https://doi.org/10.1371/journal.pone.0325901","three-stage DEA; global Malmquist; Tobit","open-access peer-reviewed research article","high","Separate efficiency, productivity change and determinants; avoid causal overinterpretation"
"P05","2024","Variable RTS in hierarchical network DEA: Enhancing efficiency in higher education systems","Socio-Economic Planning Sciences","https://doi.org/10.1016/j.seps.2024.102112","hierarchical network DEA; variable RTS","open-access peer-reviewed research article","medium-high","Different student groups or stages may need different scale assumptions"
"P06","2024","Benchmarking performance through efficiency analysis trees: Improvement strategies for Colombian higher education institutions","Socio-Economic Planning Sciences","https://doi.org/10.1016/j.seps.2024.101845","EAT; CEAT; machine-learning frontier; benchmarking","open-access peer-reviewed research article","medium-high","Use similar-peer grouping and interpretable improvement paths"
"P07","2024","Nonparametric efficiency measurement of undergraduate teaching by university size","Operational Research","https://doi.org/10.1007/s12351-024-00816-x","cluster analysis; DEA; meta-frontier; bootstrap","open-access peer-reviewed research article","high","Supports homogeneous peer groups, meta-frontier and confidence-aware ranking"
"P08","2024","Harmonization of higher education and student management by integrating information technology","Applied Mathematics and Nonlinear Sciences","https://doi.org/10.2478/amns-2024-0371","data fusion; clustering; DEA; DEA-Malmquist; student learning efficiency","peer-reviewed research article; direct overlap","very high","Closest prior work; DEA+Malmquist for students is not sufficient as the core novelty"
"P09","2023","Efficiency evaluation of higher education systems in China: A double frontier parallel DEA model","Computers & Industrial Engineering","https://doi.org/10.1016/j.cie.2023.108979","double-frontier parallel DEA; optimistic/pessimistic efficiency","peer-reviewed research article","medium","Possible conservative/optimistic learning-efficiency views, but not the main contribution"
"P10","2023","Network DEA and Its Applications (2017–2022): A Systematic Literature Review","Mathematics","https://doi.org/10.3390/math11092141","systematic review of network DEA","open-access systematic review","high","Network structure, shared inputs, undesirable outputs and complex processes are active directions"
"P11","2019","Study On Efficiency Evaluation Of College Graduates Based On DEA Fusion Algorithm","master thesis","https://www.globethesis.com/?t=2370330563491959","cross-efficiency; clustering DEA; grey relational analysis","thesis; not treated as strongest peer-reviewed evidence","high","Student-level DEA and clustering ideas predate current system; novelty must be structural and validated"

