"学生ID","课程代码","第一学期选课数","第二学期选课数","第一学期考核次数","第二学期考核次数","第一学期通过课程数","第二学期通过课程数","第一学期平均成绩","第二学期平均成绩","学业结果"
"UCI697_001","9238","6","6","9","14","5","2","11.4","13.5","Dropout"
"UCI697_002","9773","6","6","6","7","5","0","13.2","0","Dropout"
"UCI697_003","33","7","7","7","7","0","1","0","10","Dropout"
"UCI697_004","9147","5","5","10","8","1","2","10","12","Dropout"
"UCI697_005","9130","6","6","13","11","3","3","11.666666666666666","12","Dropout"
"UCI697_006","9773","6","5","6","5","4","0","12.75","0","Dropout"
"UCI697_007","9773","6","6","7","7","4","5","13","13.8","Dropout"
"UCI697_008","9991","5","5","12","10","5","5","10.6","11","Dropout"
"UCI697_009","9130","6","11","9","13","5","10","13","12.9","Dropout"
"UCI697_010","9500","7","8","10","10","5","5","11.9","11","Dropout"
"UCI697_011","9147","5","5","8","10","5","4","11.2","10.75","Dropout"
"UCI697_012","9254","6","6","12","12","3","1","11.666666666666666","12","Dropout"
"UCI697_013","9147","5","5","8","11","3","3","10.333333333333334","10.857142857142858","Dropout"
"UCI697_014","9254","6","6","8","11","4","1","10.5","11","Dropout"
"UCI697_015","9853","6","6","8","7","5","5","12.2","12.2","Dropout"
"UCI697_016","9003","12","12","17","14","6","10","12.166666666666666","13.3","Dropout"
"UCI697_017","9130","6","6","7","6","2","0","12","0","Dropout"
"UCI697_018","9853","6","6","12","14","3","0","12.666666666666666","0","Dropout"
"UCI697_019","9500","7","7","10","7","4","0","11.96","0","Dropout"
"UCI697_020","9085","10","9","12","14","8","5","12.875","13.4","Dropout"
"UCI697_021","9085","6","6","15","17","4","4","14.2","13.25","Dropout"
"UCI697_022","9500","7","7","9","10","6","5","13.266666666666666","12.3","Dropout"
"UCI697_023","9500","7","7","7","7","6","6","12.516666666666666","12.516666666666666","Dropout"
"UCI697_024","9254","6","6","12","12","3","2","11","11","Dropout"
"UCI697_025","9556","7","7","12","0","5","0","12.1","0","Dropout"
"UCI697_026","9500","7","8","9","9","7","7","13.2375","13.742857142857144","Dropout"
"UCI697_027","9500","7","7","8","7","5","0","14","0","Dropout"
"UCI697_028","9670","6","6","7","9","5","4","12","12.5","Dropout"
"UCI697_029","9254","6","6","8","12","5","3","11.2","11.666666666666666","Dropout"
"UCI697_030","9853","6","6","10","12","3","3","12.666666666666666","10","Dropout"
"UCI697_031","9853","6","6","8","10","6","4","12","11.5","Dropout"
"UCI697_032","9670","6","6","6","9","6","6","13.166666666666666","13","Dropout"
"UCI697_033","9853","6","6","13","10","4","3","11.5","11","Dropout"
"UCI697_034","9238","6","6","13","12","3","2","12","11.333333333333334","Dropout"
"UCI697_035","9254","6","6","8","6","4","6","11.75","13.166666666666666","Dropout"
"UCI697_036","9500","7","7","8","8","4","4","11.95","11.95","Dropout"
"UCI697_037","9853","6","6","8","12","5","5","12.4","10.4","Dropout"
"UCI697_038","9500","7","8","8","10","6","6","14.35","14.583333333333334","Dropout"
"UCI697_039","9773","6","6","6","6","5","0","12","0","Dropout"
"UCI697_040","9070","6","6","6","6","6","0","12.166666666666666","0","Dropout"
"UCI697_041","9147","5","5","9","9","3","3","10","10.571428571428571","Dropout"
"UCI697_042","9085","6","6","10","6","2","0","11","0","Dropout"
"UCI697_043","9254","6","6","7","6","6","5","13.714285714285714","12.8","Dropout"
"UCI697_044","8014","6","6","11","6","1","0","10","0","Dropout"
"UCI697_045","8014","6","6","16","13","1","0","10","0","Dropout"
"UCI697_046","9085","5","5","10","9","0","2","0","13.5","Dropout"
"UCI697_047","9254","6","6","9","13","4","2","11.25","12.5","Dropout"
"UCI697_048","9147","5","5","12","12","3","1","12","15","Dropout"
"UCI697_049","9130","5","5","14","10","4","4","13.5","14.25","Dropout"
"UCI697_050","9085","6","6","11","14","3","3","11.75","10.333333333333334","Dropout"
"UCI697_051","9003","6","6","13","8","3","3","12.75","11.333333333333334","Dropout"
"UCI697_052","9773","6","6","6","6","6","6","15","12.833333333333334","Dropout"
"UCI697_053","9556","7","7","13","12","1","0","16","0","Dropout"
"UCI697_054","9238","10","7","16","8","6","2","11.833333333333334","13","Dropout"
"UCI697_055","9119","12","12","17","19","8","6","11.75","12.166666666666666","Dropout"
"UCI697_056","9147","5","5","10","12","2","1","10","13","Dropout"
"UCI697_057","9853","6","6","8","10","5","3","11","10.666666666666666","Dropout"
"UCI697_058","9130","9","7","16","12","7","5","11.555555555555555","13.2","Dropout"
"UCI697_059","9070","6","6","9","10","5","2","12","11.333333333333334","Dropout"
"UCI697_060","9670","5","5","6","6","2","4","12.5","10.25","Dropout"
"UCI697_061","9238","6","6","10","14","1","2","12","11","Enrolled"
"UCI697_062","9853","7","7","7","8","6","6","11.666666666666666","13.5","Enrolled"
"UCI697_063","9556","7","8","14","9","7","8","11.4375","11.425","Enrolled"
"UCI697_064","9238","6","6","8","12","5","4","11.6","11","Enrolled"
"UCI697_065","9085","5","5","9","7","5","4","12.666666666666666","13","Enrolled"
"UCI697_066","9500","7","7","9","7","6","6","12.933333333333332","13.716666666666669","Enrolled"
"UCI697_067","9003","6","6","15","17","5","5","11.857142857142858","10.571428571428571","Enrolled"
"UCI697_068","9147","5","5","9","8","3","2","11.333333333333334","13.5","Enrolled"
"UCI697_069","9991","5","5","9","11","2","3","11.5","14.333333333333334","Enrolled"
"UCI697_070","9500","8","8","10","10","6","6","11.833333333333334","11.833333333333334","Enrolled"
"UCI697_071","9773","6","6","11","12","4","3","14","11","Enrolled"
"UCI697_072","9070","6","6","6","8","5","1","11.4","10","Enrolled"
"UCI697_073","9254","6","6","7","8","6","5","12","10.8","Enrolled"
"UCI697_074","9254","5","5","6","8","5","3","12","11.333333333333334","Enrolled"
"UCI697_075","9147","5","5","6","5","4","5","14","13.8","Enrolled"
"UCI697_076","9119","5","5","9","9","2","0","10","0","Enrolled"
"UCI697_077","9119","5","5","9","11","5","3","14","13.25","Enrolled"
"UCI697_078","9085","5","5","7","7","5","5","14.2","13.8","Enrolled"
"UCI697_079","9853","7","7","12","10","6","3","11.666666666666666","13","Enrolled"
"UCI697_080","9147","5","5","9","11","3","3","13","11","Enrolled"
"UCI697_081","9500","7","7","11","7","6","7","11.616666666666667","13","Enrolled"
"UCI697_082","9238","6","6","13","12","2","4","10","10.75","Enrolled"
"UCI697_083","9147","5","5","11","10","3","3","10.333333333333334","10.666666666666666","Enrolled"
"UCI697_084","9853","6","6","8","7","5","5","12.8","13.4","Enrolled"
"UCI697_085","9500","7","8","9","9","5","7","13.188","12.892857142857142","Enrolled"
"UCI697_086","9853","6","6","11","10","3","5","12.333333333333334","10.833333333333334","Enrolled"
"UCI697_087","9085","5","5","13","11","4","4","11.25","10.5","Enrolled"
"UCI697_088","9670","5","5","6","6","3","4","11.666666666666666","13.5","Enrolled"
"UCI697_089","9991","6","6","7","7","6","6","12.666666666666666","13.166666666666666","Enrolled"
"UCI697_090","9238","10","6","18","12","8","4","11.5","10","Enrolled"
"UCI697_091","8014","6","5","13","12","2","1","10","10","Enrolled"
"UCI697_092","9500","3","3","4","3","3","3","11.816666666666668","11.333333333333334","Enrolled"
"UCI697_093","9556","7","8","10","9","6","8","12.125","13.3125","Enrolled"
"UCI697_094","9500","7","7","10","8","6","7","12.471428571428572","11.4625","Enrolled"
"UCI697_095","171","17","13","19","15","11","9","12.909090909090908","13.555555555555555","Enrolled"
"UCI697_096","9070","6","6","7","6","5","5","12.4","12.4","Enrolled"
"UCI697_097","9773","6","6","12","12","1","0","11","0","Enrolled"
"UCI697_098","9070","6","6","6","6","6","6","11.833333333333334","12.5","Enrolled"
"UCI697_099","9500","7","8","7","8","7","8","13.79714285714286","13.775","Enrolled"
"UCI697_100","9070","6","6","8","6","6","6","12.5","12.333333333333334","Enrolled"
"UCI697_101","9003","6","6","10","12","6","5","11.428571428571429","13","Enrolled"
"UCI697_102","9670","6","6","8","9","4","4","11","11","Enrolled"
"UCI697_103","9500","7","8","11","12","6","6","11.757142857142856","13.083333333333334","Enrolled"
"UCI697_104","9085","5","5","9","8","3","3","10.333333333333334","13","Enrolled"
"UCI697_105","9853","6","6","9","8","5","5","12.6","11.4","Enrolled"
"UCI697_106","9085","5","5","11","7","5","5","14","11.6","Enrolled"
"UCI697_107","9853","7","7","12","9","5","6","12","12.666666666666666","Enrolled"
"UCI697_108","9085","5","5","13","8","4","3","12","12","Enrolled"
"UCI697_109","9147","5","5","5","7","4","2","13","12","Enrolled"
"UCI697_110","9238","16","13","24","19","13","9","10.692307692307692","12.307692307692308","Enrolled"
"UCI697_111","8014","6","6","10","9","5","4","12","11.25","Enrolled"
"UCI697_112","9147","5","5","10","9","3","4","10.333333333333334","11","Enrolled"
"UCI697_113","9500","7","7","8","8","5","5","13.98","13.98","Enrolled"
"UCI697_114","9085","5","5","8","6","1","5","11","11.2","Enrolled"
"UCI697_115","9991","5","5","11","10","4","4","11.25","10.833333333333334","Enrolled"
"UCI697_116","8014","11","11","14","14","10","10","11.9","12.8","Enrolled"
"UCI697_117","9853","7","7","7","8","7","6","12.285714285714286","13.333333333333334","Enrolled"
"UCI697_118","9085","6","6","16","15","5","2","12.666666666666666","13.5","Enrolled"
"UCI697_119","9500","7","8","8","8","6","8","13.25","13.75","Enrolled"
"UCI697_120","9238","6","6","13","12","3","3","10.333333333333334","10.333333333333334","Enrolled"
"UCI697_121","9254","6","6","6","6","6","6","14","13.666666666666666","Graduate"
"UCI697_122","9773","6","6","8","10","6","5","13.428571428571429","12.4","Graduate"
"UCI697_123","8014","6","6","9","6","5","6","12.333333333333334","13","Graduate"
"UCI697_124","9991","5","5","10","17","5","5","11.857142857142858","11.5","Graduate"
"UCI697_125","9500","7","8","9","8","7","8","13.3","14.345","Graduate"
"UCI697_126","9238","6","6","8","7","6","6","13.875","14.142857142857142","Graduate"
"UCI697_127","9670","6","6","6","7","6","5","12.333333333333334","14.2","Graduate"
"UCI697_128","9500","8","8","8","8","7","7","13.214285714285714","13.214285714285714","Graduate"
"UCI697_129","9254","6","6","7","8","6","5","10.571428571428571","11","Graduate"
"UCI697_130","9085","5","5","7","5","4","5","13.25","12","Graduate"
"UCI697_131","9500","7","8","8","8","7","8","13.30625","14.545","Graduate"
"UCI697_132","9130","5","5","8","8","4","4","12.5","12.25","Graduate"
"UCI697_133","9500","8","8","12","12","7","7","12.857142857142858","12.857142857142858","Graduate"
"UCI697_134","9670","6","6","8","7","6","6","13.375","12.285714285714286","Graduate"
"UCI697_135","9500","7","8","8","9","6","7","13.296666666666669","14.114285714285714","Graduate"
"UCI697_136","9238","6","6","9","9","6","6","11.375","13.285714285714286","Graduate"
"UCI697_137","9147","5","5","6","6","5","5","12","12.333333333333334","Graduate"
"UCI697_138","9070","6","6","7","9","6","4","12.833333333333334","13.4","Graduate"
"UCI697_139","8014","6","6","6","8","6","6","12.666666666666666","14.375","Graduate"
"UCI697_140","9991","5","5","6","9","5","5","12.4","13.428571428571429","Graduate"
"UCI697_141","9991","5","5","8","5","5","5","11","11.6","Graduate"
"UCI697_142","9147","5","5","5","5","5","5","14.8","15.8","Graduate"
"UCI697_143","9500","7","8","9","9","5","7","13.928","14.342857142857142","Graduate"
"UCI697_144","9238","6","6","6","8","6","5","11.666666666666666","13.2","Graduate"
"UCI697_145","9500","7","8","8","9","6","7","13.516666666666666","13.771428571428572","Graduate"
"UCI697_146","8014","6","6","6","7","6","6","11.5","13.285714285714286","Graduate"
"UCI697_147","9238","6","6","7","7","5","6","12.333333333333334","12.833333333333334","Graduate"
"UCI697_148","9254","6","6","6","6","6","6","13.666666666666666","14.166666666666666","Graduate"
"UCI697_149","9130","5","5","7","5","5","5","14.714285714285714","15.8","Graduate"
"UCI697_150","9500","7","8","9","10","7","8","13.044444444444444","13.595","Graduate"
"UCI697_151","9500","8","8","8","8","8","8","14.935","14.935","Graduate"
"UCI697_152","9500","7","8","8","12","6","7","13.133333333333333","12.221428571428572","Graduate"
"UCI697_153","9238","6","6","7","7","6","6","12","12","Graduate"
"UCI697_154","9003","6","6","8","7","6","6","12.571428571428571","12.428571428571429","Graduate"
"UCI697_155","9500","7","8","8","8","7","8","11.975","13.75","Graduate"
"UCI697_156","9773","6","6","8","11","6","3","12.333333333333334","12.333333333333334","Graduate"
"UCI697_157","9773","6","6","6","6","6","6","13.666666666666666","13.333333333333334","Graduate"
"UCI697_158","9500","7","8","7","9","7","8","14.842857142857142","15.055555555555555","Graduate"
"UCI697_159","8014","6","6","8","6","6","6","12","11.666666666666666","Graduate"
"UCI697_160","8014","6","6","7","11","6","5","11","11","Graduate"
"UCI697_161","9500","8","8","8","8","7","7","13.08","13.08","Graduate"
"UCI697_162","9670","5","5","7","7","4","5","10.5","11.6","Graduate"
"UCI697_163","9070","6","6","9","6","6","5","10.666666666666666","11.2","Graduate"
"UCI697_164","9773","6","6","6","6","6","6","14","13.5","Graduate"
"UCI697_165","8014","8","6","11","7","8","6","11.875","12.333333333333334","Graduate"
"UCI697_166","9773","6","6","6","6","6","6","13.666666666666666","13.333333333333334","Graduate"
"UCI697_167","9500","7","8","7","9","7","8","13.75","14.47777777777778","Graduate"
"UCI697_168","9003","18","13","19","14","18","13","14.63157894736842","14.23076923076923","Graduate"
"UCI697_169","9070","10","11","12","11","10","11","13","12.272727272727272","Graduate"
"UCI697_170","9238","6","6","8","6","6","6","13.857142857142858","15","Graduate"
"UCI697_171","9085","5","5","6","5","5","5","13.4","12.8","Graduate"
"UCI697_172","9773","6","6","6","7","6","6","12.666666666666666","12.571428571428571","Graduate"
"UCI697_173","9085","5","5","12","6","5","5","13.142857142857142","11.4","Graduate"
"UCI697_174","9147","5","5","5","5","5","5","12.6","14","Graduate"
"UCI697_175","9147","5","5","8","9","5","4","10.8","11.25","Graduate"
"UCI697_176","9670","5","5","5","5","5","5","12.8","14.2","Graduate"
"UCI697_177","9085","6","6","15","13","6","6","14.166666666666666","12.2","Graduate"
"UCI697_178","9085","6","6","7","17","6","5","14.166666666666666","13.77777777777778","Graduate"
"UCI697_179","9238","6","6","7","6","6","6","13","13.666666666666666","Graduate"
"UCI697_180","9500","7","8","7","9","7","8","13.467142857142855","15.011111111111113","Graduate"
